id,tournamentid,countryid,name,isactive
7734,131,67,2014/2015,0
7735,131,67,2015/2016,0
7736,131,67,2016/2017,0
7737,131,67,2017/2018,0
7738,131,67,2018/2019,0
7739,131,67,2019/2020,1
7740,132,29,2012,0
7741,132,29,2013,0
7742,132,29,2014,0
7743,132,29,2015,0
7744,132,29,2016,0
7745,132,29,2017,0
7746,132,29,2018,0
7747,132,29,2019,1
7748,133,20,2013/2014,0
7749,133,20,2014/2015,0
7750,133,20,2015/2016,0
7751,133,20,2016/2017,0
7752,133,20,2017/2018,0
7753,133,20,2018/2019,0
7754,133,20,2019/2020,1
7755,86,38,2019/2020,1
7756,107,70,2019/2020,1
7757,3,62,2019/2020,1
7758,97,3,2019/2020,1
